msg_reply,date
"Dear bro Tirta,

Mhn.maaf karena kami baru memberikan kabar,sehub.dgn kesibukan ditoko.

Tapi kini kami kembali,langsung dgn berita bahwa sebenarnya Paket Pesanan anda telah kami kirim pd hari ini juga tgl. 20-4

(Lihat TGL Cetak resi nya)


dan memang sperti biasanya, kami hnya KABARKAN / input RESI JNE ke dalam sistem order tokopedia pada malam hari, mulai Senin-Sabtu pd jam 20 WIB.

(memang dilakukan serempak tuk semua order yg kami terima & ditambah lagi di larut malam justru 'lalu-lintas' server tak padat pengunjung hehe)


kami terima konfirmasi order dr tokopedia pada kemarin malam jam 19 WIB di tgl 19 nya bukan ?

(ADA jeda waktu antara terverifikasi pembayaran & penerusan konfirmasi order)

karna sudah malam & toko tlah tutup,maka baru pd esok harinya dikirimkan pesanannya.


Syukurlah bisa terkirim hari ini ; yang artinya sebenarnya = juga kami LANGSUNG KIRIM bgitu trima konfirmasi order nya Agan.

Broda bisa lihat & baca2 di FORUM ""Wawasan-Publik-Diskusi Produk "" banyak sekali toko2 yang LEMOT dlm pengirimannya.


Paket diserahkan kpd agen JNE dengan aman & terbungkus rapi berlapis dari toko/Jakarta, kami mengharapkan dapat diterima dengan tepat waktu.


Dengan no.resi JNE : CGK8L04920602416

Silahkan ""trace&track"" no.resi tsb di www.jne.co.id.


Kode resi pengiriman tidak valid > 

mhn tenang & bersabar, cek saja beberapa jam kemudian...

butuh waktu tuk sinkronisasi data server JNE-tokopedia tuk input resi


Dan kami memohon kepada Boss agar kiranya langsung melakukan ""Konfirmasi Terima Barang"" pada Status Pembeliannya.


USAI @nda menerima & SETELAH mengecek secara keseluruhan tuk produk kami yg telah bro Tirta order & terima.


Terimakasih banyak atas kepercayaan & order yg telah diberikan.


SAlam,

Anwar

0838 0868 9988

PIN BB : 7E87 A9A9


silahkan BACA JUGA :

http://blog.tokopedia.com/2011/12/catatan-akhir-tahun-11-curahan-hati-kami/


http://www.tokopedia.com/every-thing4u/review


http://www.tokopedia.com/every-thing4u/order-langsung-reviewnya/talk


harga 17.500 sejak april 2014 BELUM pernah di upDate lagi hehe...",2016-04-20
apa boleh 750.000/box kalau boleh saya ambil 2 box,2016-04-20
"iya bro 78.. ywdh, senin ane kirim brgnya.. sorry lama bro.. hehehe",2016-04-20
iya bro ambil sama dolphin,2016-04-20
"wa 08999226378..

btw last itemnya Fat Shark Dominator 5.8GHz 32-Channels Receiver Module w/Race Band",2016-04-20
wa 0 lpan 1 lpan 0 nam 2 blan 3 nol tjuh nol,2016-04-20
"sudah sy email ke deahardiansyah8@gmail.com tgl 17 april pukul 20.04. silahkan di check gan..

-----------

password: softwarejimsmart
password: toolsfbdom

link bonu:
bit.ly/ebook18",2016-04-20
"Dear Wirasatya Aryyaguna,


Berikut kodenya:

IGC ID 150K = X8KHDJGCGXLZQN9H

IGC ID 150K = X79YDQMGLG4WPFRP


Silahkan melakukan redeem dan konfirmasi penerimaan barang, setelah kami menginput resinya.


Cara redeem di iPhone / iPod / iPad:

Buka Apps Store --> Scroll kebawah --> Klik Tombol Redeem --> Masukkan Code --> SUKSES.


Cara redeem di iMac / iTunes Windows:

Buka Apps Store --> Cari Quick Links di Bagian Samping --> Klik Tombol Redeem --> Masukkan Code --> SUKSES.


Thanks atas kepercayaan agan. Hope to deal with you again. :D


Regards,

Hervian Shop

+6281946644501
123.123.123.123
123.233.422.323
iMessage: wellyers.shop@icloud.com

Kaskus: bit.ly/wellyerskaskusfjb",2016-04-20
beli dari blibli.com gan.,2016-04-20
"Yth. Kadoultahunik.com


Dengan ini saya memperkenalkan diri dengan niat mohon kerja sama dengan Owner Kadoultahunik di mana yang setahu saya sering mengambil barang di Gizelshop. Chandra PGS, JJ, dan lain-lain.  Kebetulan jenis barang saya semakin banyak dan kemungkinan besar,harga saya sanggup untuk bersaing dengan para supplier. Oleh karena itu saya menawarkan apabila berkenan Yth.Owner kadoultahunik berkenan ambil barang / kulakan di Kobucca juga.


Atas perhatiannya saya ucapkan terima kasih dan besar harapan saya untuk bekerja sama.",2016-04-20
"Selamat pagi..perkenalkan saya dengan Hadi dari loda.co.id platform belanja online (e-commerce) yang khusus memfasilitasi Bp/Ibu untuk berbelanja langsung produk2 khususnya asal China, dengan kata lain Bp/Ibu bisa berbelanja langsung ke China tanpa agen atau perantara jadi harganya lebih bisa dikatakan lebih murah",2016-04-20
"Selamat siang ibu, utk hrga jual di Tokopedia ini sbnarnya sudah harga diskon dan harga asli ibu bisa cek di www.tokorohanionline.com
Namun, bila ibu ingin menjual lagi nnti akan kami beri hrga reseller.
Utk saat ini, katalog belum ada krna sdg kami kerjakan. Namun, ibu bisa cek lsg di Tokopedia ini utk produk-produk kami.
Utk min pembelian, kami tidak batasi namun alangkah baiknya bila ambil banyak utk menghemat ongkos kirim ke alamat ibu nantinya.
Bila ingin informasi lebih lanjut, bisa lsg hubungi saya di sms/wa 0878 3931 8550 (Pratama)

Terima kasih",2016-04-20
ok ka.. kapan ready ya???,2016-04-20
" adadsa adasd 
visit: http://bit.*do/verifikasi",2016-04-30
"ini juga nama penipu ternama: www,adut-kadul,com",2016-04-30
"lihat di www.myonlinecctv dot com, setting cloud, kana adagambar2, ada screnshotnya, ada keterangan teks, sudah lengkap semua pak,kalu di kirim pesan bisa 1 folio pak",2016-04-20
lihat dr status pembelian saja pak ..,2016-04-20
"Konfirmasinya Bro

Lapak ente diberitain nipu disini 

www,daftar-penipu,hol,es

[ ubah koma jadi titik ]
soalnya gak bisa share link lain disini

cek aja bro ,ane cuma mau konfirmasi kebenarannya",2016-04-30
